sample_id,wpm,word_count,duration_sec,whisper_transcript,filler_count,filler_ratio,mean_pitch,pitch_std,pitch_range,pitch_variability,jitter,shimmer,mean_energy,energy_std,energy_range,speech_ratio,pause_count,avg_pause_duration,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,mfcc_1,mfcc_delta_1,mfcc_2,mfcc_delta_2,mfcc_3,mfcc_delta_3,mfcc_4,mfcc_delta_4,mfcc_5,mfcc_delta_5,mfcc_6,mfcc_delta_6,mfcc_7,mfcc_delta_7,mfcc_8,mfcc_delta_8,mfcc_9,mfcc_delta_9,mfcc_10,mfcc_delta_10,mfcc_11,mfcc_delta_11,mfcc_12,mfcc_delta_12,mfcc_13,mfcc_delta_13,tone_label,tone_score,tone_ang,tone_hap,tone_neu,tone_sad
sample_016_AimeeMullins_2009P_Segment116,112.97,18,9.56,"And Dr. Keen went on to tell me that he said, in my experience, unless repeatedly told otherwise.",0,0.0,166.134,81.644,423.261,0.4914,0.266207,0.155989,0.043456,0.042464,0.146405,0.6309,4,0.856,2169.325,1737.505,4142.977,0.187505,-246.6907,-0.356176,63.4293,-0.4503,-33.5586,0.061423,20.539,-0.215146,-17.2775,0.21219,-6.4172,0.064893,-15.6673,0.089803,-5.8581,-0.015991,-9.3076,0.047388,-12.9679,0.053145,-10.4689,0.065133,-7.1302,0.021823,-7.8574,0.047843,ang,0.8845,0.8845,0.0967,0.0013,0.0174
sample_017_AimeeMullins_2009P_Segment117,129.81,18,8.32,"and even if given a modicum of support, it's left to their own devices, a child will achieve.",0,0.0,181.77,65.912,288.96,0.3626,0.224435,0.158974,0.069865,0.049508,0.18189,0.8456,2,0.608,1998.147,1617.463,3747.266,0.168654,-197.8421,0.010963,70.9768,-0.307292,-33.2326,0.11978,19.7188,-0.154315,-24.1023,0.15874,-4.3153,-0.067048,-19.4212,-0.02239,-10.8021,0.000516,-9.0613,0.041037,-14.6559,0.054549,-11.8142,-0.008768,-6.1672,0.072686,-6.7814,0.087684,ang,0.7499,0.7499,0.2319,0.0136,0.0046
sample_018_AimeeMullins_2009P_Segment118,166.67,25,9.0,"See, Dr. Keane made that shift in thinking. He understood that there's a difference between the medical condition and what someone might do with it.",0,0.0,176.742,63.367,435.703,0.3585,0.206415,0.167212,0.060757,0.038087,0.153022,0.8741,2,0.528,2151.858,1663.2,3974.238,0.182012,-203.5478,-0.037287,58.8498,-0.147369,-25.8673,-0.198354,34.6564,-0.241238,-28.0984,0.113136,-13.3512,0.158412,-19.157,0.086193,-8.5122,0.063183,-13.0063,0.054233,-16.2273,0.064696,-10.8243,-0.023507,-8.514,0.044553,-5.925,0.002771,ang,0.611,0.611,0.358,0.0134,0.0176
sample_019_AimeeMullins_2009P_Segment119,187.5,39,12.48,"And there's been a shift in my thinking over time and that if you would ask me at 15 years old if I would have traded prosthetics for flesh and bone legs, I wouldn't have hesitated for a second.",0,0.0,174.91,70.14,395.929,0.401,0.22534,0.177096,0.055461,0.041474,0.160268,0.7974,5,0.486,2034.439,1640.414,3816.123,0.175352,-213.63,-0.151492,68.5051,0.11247,-35.4858,-0.020617,25.0141,0.036329,-24.2757,-0.050997,-9.9271,0.031408,-19.5045,0.016608,-8.7408,-0.041178,-8.2541,0.025782,-14.9675,0.025621,-11.0741,0.01403,-6.7683,-0.049681,-5.5879,0.016823,ang,0.8456,0.8456,0.1468,0.0029,0.0047
sample_020_AimeeMullins_2009P_Segment120,126.17,18,8.56,"I aspired to that kind of normalcy back then. If you ask me today, I'm not so sure.",2,0.1111,166.253,63.33,348.187,0.3809,0.242563,0.148357,0.036761,0.033341,0.117336,0.7034,3,0.811,1955.36,1630.512,3684.689,0.163289,-262.6851,-0.642066,74.8282,-0.010351,-38.1685,0.199394,19.7498,0.104394,-16.4193,0.080247,-8.5118,-0.059926,-15.3007,-0.156101,-4.4172,0.123124,-8.776,0.034037,-11.4362,-0.027339,-12.7886,-0.050781,-5.8143,0.028738,-7.0985,0.062976,ang,0.7541,0.7541,0.2371,0.0031,0.0058
sample_021_AimeeMullins_2009P_Segment121,131.0,20,9.16,"And it's because of the experiences I've had with them, not in spite of the experiences I've had with them.",0,0.0,183.158,67.893,393.402,0.3707,0.251851,0.167533,0.064726,0.049684,0.188631,0.7936,4,0.464,2161.697,1690.591,4057.763,0.176412,-204.4802,-0.307929,58.5902,-0.02046,-36.9286,0.017344,30.2172,-0.062014,-20.8615,0.237477,-11.3595,0.111797,-18.8049,-0.031913,-5.3865,-0.07283,-10.9764,-0.017897,-15.4621,0.050664,-9.9034,-0.023417,-9.6737,-0.030489,-5.3677,-0.012446,ang,0.974,0.974,0.0253,0.0001,0.0006
sample_022_AimeeMullins_2009P_Segment122,140.76,32,13.64,And perhaps this shift in me has happened because I've been exposed to more people who have opened doors for me than those who have put lids and cash shadows on me.,0,0.0,189.979,78.897,450.0,0.4153,0.253625,0.153095,0.051882,0.041156,0.135376,0.7707,7,0.421,2080.063,1654.248,3895.047,0.17808,-235.7326,0.014442,65.903,-0.178821,-32.3332,0.051035,22.2943,0.033445,-23.3959,-0.091707,-4.2787,0.076468,-17.775,0.037391,-9.7518,-0.018049,-11.9583,-0.01364,-15.6239,0.032807,-8.2808,-0.013993,-9.1546,0.007786,-6.0095,0.034914,ang,0.4658,0.4658,0.0836,0.0003,0.4503
sample_023_AimeeMullins_2009P_Segment123,160.49,26,9.72,All you really need is one person to show you the epiphany of your own power and your off. If you can hand somebody the key.,0,0.0,182.457,80.156,450.0,0.4393,0.246916,0.13711,0.085657,0.06258,0.266318,0.7599,4,0.584,1972.008,1645.788,3758.427,0.15694,-189.8808,-0.408217,67.0981,0.07434,-28.6266,0.100739,28.9845,0.122627,-22.5696,-0.107429,-7.3849,0.120056,-14.9974,0.012149,-10.2814,0.01947,-13.354,-0.020592,-16.2882,0.06306,-11.295,-0.095073,-9.178,-0.025913,-6.8707,0.062834,ang,0.8562,0.8562,0.1075,0.0019,0.0344
sample_024_AimeeMullins_2009P_Segment124,217.11,33,9.12,"to their own power. The human spirit is so receptive. If you can do that and open a door for someone at a crucial moment, you are educating them in the best sense.",1,0.0303,220.934,76.998,450.0,0.3485,0.223278,0.165444,0.07732,0.043527,0.181365,0.925,1,0.672,2002.974,1541.523,3638.512,0.168584,-190.8572,-0.259093,67.0525,-0.403842,-42.3692,0.086045,28.1972,-0.177142,-30.0114,0.134913,-12.2197,0.095414,-19.3762,0.097102,-12.8145,0.029399,-12.8449,0.020567,-19.7632,0.068501,-10.7585,0.020682,-12.3173,0.005926,-10.7493,-0.049518,ang,0.9763,0.9763,0.0224,0.0002,0.0011
sample_025_AimeeMullins_2009P_Segment125,113.64,15,7.92,you're teaching them to open doors for themselves. The exact meaning of the word educate.,0,0.0,179.104,73.964,341.695,0.413,0.224932,0.178866,0.053194,0.04765,0.176145,0.6708,4,0.6,2093.796,1733.505,4014.248,0.167148,-240.9936,-0.153222,65.9556,0.139191,-22.604,0.026877,23.8885,0.03748,-17.8279,-0.134931,-7.3834,-0.004464,-15.4052,0.043124,-9.0419,-0.14697,-15.9177,-0.0779,-12.9816,0.090901,-10.1173,-0.028906,-10.4594,-0.081536,-5.5168,0.108672,ang,0.9948,0.9948,0.0028,0.0002,0.0021
sample_026_AimeeMullins_2009P_Segment126,149.47,28,11.24,"comes from the root word, aduce. It means to bring forth what is within, to bring out potential. So again, which potential do we want to bring out?",1,0.0357,180.954,77.17,450.0,0.4265,0.230309,0.166313,0.048114,0.036866,0.125469,0.7449,4,0.68,2141.921,1754.727,4110.143,0.176459,-237.9869,-0.409814,63.7232,-0.036698,-24.7119,-0.065868,21.276,-0.058157,-15.8042,0.012135,-6.6534,0.056917,-18.4741,0.040588,-10.9515,-0.040521,-11.5932,0.049962,-17.4001,-0.041711,-10.3476,-0.001881,-7.425,0.021269,-8.1536,-0.028462,ang,0.979,0.979,0.0196,0.0001,0.0012
sample_027_AimeeMullins_2009P_Segment128,174.7,29,9.96,"There was a case study done in the 1960s, Britain, when they were moving from grammar schools to comprehensive schools. It's called the streaming trials. We call it tracking.",0,0.0,203.335,60.257,449.783,0.2963,0.166546,0.177055,0.074256,0.043756,0.163617,0.8961,2,0.48,2042.215,1635.537,3880.79,0.16515,-192.2136,-0.098473,64.3053,-0.019759,-37.707,0.077506,25.1868,0.074312,-23.3776,-0.048783,-9.2869,0.017613,-22.9385,0.128012,-11.4455,-0.002737,-13.198,-0.069765,-14.8599,0.013659,-8.6267,0.012353,-10.4697,-0.02623,-9.681,0.031312,ang,0.6564,0.6564,0.34,0.0024,0.0011
sample_028_AimeeMullins_2009P_Segment129,185.95,15,4.84,"here in the States. It's separating students from A, B, C, D, and so on.",1,0.0667,187.259,50.864,450.0,0.2716,0.207155,0.164997,0.055569,0.035049,0.143662,0.9474,1,0.128,2364.492,1730.587,4269.353,0.198616,-219.7674,-0.490742,43.5681,-0.009808,-20.3027,0.20525,49.4763,-0.236955,-31.2041,0.278795,-13.5918,0.230731,-14.3994,-0.04339,-17.1754,-0.225086,-17.5904,0.126566,-18.1123,0.077705,-5.3579,-0.036131,-13.5984,-0.033568,-4.4846,-0.079593,ang,0.4879,0.4879,0.2699,0.2418,0.0005
sample_029_AimeeMullins_2009P_Segment13,191.18,26,8.16,"I was reading this list out loud to a friend and at first was laughing. It was so ludicrous, but I just got and passed mangled.",1,0.0385,211.788,65.678,351.44,0.3101,0.235285,0.176705,0.074474,0.04853,0.180237,0.9258,2,0.224,1982.569,1578.495,3673.182,0.16813,-180.7741,-0.310402,71.2187,-0.500711,-48.2383,0.600495,14.0144,-0.032283,-30.539,0.21121,-12.6988,-0.087885,-26.0947,-0.089368,-10.0098,0.109824,-8.4714,-0.025777,-12.9051,-0.01954,-11.2267,-0.042334,-12.0531,0.033141,-7.2844,0.042336,ang,0.9032,0.9032,0.0921,0.0041,0.0006
