sample_id,wpm,word_count,duration_sec,whisper_transcript,pitch_mean,pitch_variability,energy_mean,jitter,shimmer,spectral_centroid,tone_label,tone_score,filler_ratio
test_0011,140.0,14,6.0,The extraordinary thing is that he had saved newspaper clipping throughout my whole childhood.,266.34,0.43,0.106197,0.147731,0.201343,2096.48,ang,0.9898,0.0
test_0012,157.89,25,9.5,"whether winning a second grade spelling be marching with the girls' gowns, the Halloween parade, winning my college scholarship, or any of my sports victories.",220.28,0.26,0.076542,0.089532,0.189776,1900.55,ang,0.7702,0.0
test_0013,114.8,15,7.84,"and he was using it, integrating it into teaching, residents, students, med students from Hanuman.",215.02,0.2644,0.074199,0.119864,0.192747,2079.57,ang,0.5454,0.0
test_0014,208.76,27,7.76,medical school and her she medical school and he called this part of the course the X factor and it was the potential of the human will.,230.86,0.4333,0.057674,0.190787,0.214878,2104.93,hap,0.7592,0.0
test_0015,171.43,20,7.0,No prognosis can account for how powerful this could be and as a determinant in the quality of someone's life.,210.04,0.343,0.068091,0.142565,0.196472,1897.39,ang,0.8312,0.0
test_0016,114.89,18,9.4,"And Dr. King went on to tell me that he said, in my experience, unless repeatedly told otherwise.",187.88,0.4069,0.043456,0.18697,0.182852,2169.33,ang,0.8845,0.0
test_0017,129.19,18,8.36,"and even if given a modicum of support, it's left to their own devices, a child will achieve.",208.28,0.4432,0.069865,0.129171,0.186462,1998.15,ang,0.7499,0.0
test_0018,162.34,25,9.24,"See, Dr. Keen made that shift in thinking. He understood that there's a difference between the medical condition and what someone might do with it.",208.28,0.4796,0.060757,0.144432,0.175119,2151.86,ang,0.611,0.0
test_0019,183.28,38,12.44,"and there's been a shift in my thinking over time and that if you'd ask me a 15 years old, if I would have traded prosthetics for flesh and bone legs, I wouldn't have hesitated for a second.",191.82,0.4225,0.055461,0.14233,0.193947,2034.44,ang,0.8456,0.0
test_0020,134.43,19,8.48,"I aspired to that kind of normalcy back then. But if you ask me today, I'm not so sure.",179.77,0.3283,0.036761,0.148318,0.204646,1955.36,ang,0.7541,0.0526
test_0021,132.16,20,9.08,"And it's because of the experiences I've had with them, not in spite of the experiences I've had with them.",193.55,0.4101,0.064726,0.156042,0.211123,2161.7,ang,0.974,0.0
test_0022,141.59,32,13.56,And perhaps this shift in me has happened because I've been exposed to more people who have opened doors for me than those who have put lids and cash shadows on me.,207.87,0.3812,0.051882,0.132309,0.191227,2080.06,ang,0.4658,0.0
test_0023,162.5,26,9.6,all you really need is one person to show you the epiphany of your own power and your off. If you can hand somebody the key.,194.85,0.4018,0.085657,0.1251,0.146348,1972.01,ang,0.8562,0.0
test_0024,222.97,33,8.88,"to their own power. The human spirit is so receptive. If you can do that and open a door for someone at a crucial moment, you are educating them in the best sense.",236.68,0.393,0.07732,0.163065,0.187844,2002.97,ang,0.9763,0.0303
test_0025,114.8,15,7.84,you're teaching them to open doors for themselves. The exact meaning of the word educate.,206.24,0.4964,0.053194,0.177635,0.203102,2093.8,ang,0.9948,0.0
test_0026,155.64,29,11.18,"comes from the root word, it do's. It means to bring forth what is within, to bring out potential. So again, which potential do we want to bring out?",198.63,0.4049,0.048114,0.153597,0.202116,2141.92,ang,0.979,0.0345
test_0027,175.78,30,10.24,"There was a case that he'd done in the 1960s Britain when they were moving from grammar schools to comprehensive schools, it's called the streaming trials. We call it tracking.",216.03,0.328,0.074256,0.128131,0.199799,2042.22,ang,0.6564,0.0
test_0028,182.93,15,4.92,"here in the states. It's separating students from a, b, c, d, and so on.",208.1,0.4217,0.055569,0.161884,0.206608,2364.49,ang,0.4879,0.0667
test_0029,190.24,26,8.2,I was reading this list out loud to a friend and it first was laughing. It was so ludicrous. But I just got and passed mangled.,234.62,0.4203,0.074474,0.168668,0.223075,1982.57,ang,0.9032,0.0385
test_0030,181.32,44,14.56,"and the A students get the top or curriculum, the best teachers, et cetera. Well, they took over a three-month period, D-level students gave them A's, told them they were A's, told them they were bright, and at the end of this three-month period.",221.06,0.3625,0.073741,0.124842,0.190761,2077.36,ang,0.6103,0.0
test_0031,157.53,23,8.76,"They were performing at a level. And of course, the heartbreaking flip side of the study is that they took the A students.",197.19,0.3759,0.057007,0.198212,0.226221,2058.66,hap,0.604,0.0
test_0032,217.29,31,8.56,"and told them they were d's. And that's what happened. At the end of that three-month period, those who were still around in school besides the dropped people had dropped out.",188.71,0.3362,0.063631,0.159855,0.218992,1894.51,ang,0.938,0.0
test_0033,125.0,16,7.68,"This is a crucial part of this case study, was that the teachers were dupped too.",199.08,0.3902,0.066112,0.137352,0.217109,2251.6,ang,0.875,0.0
test_0034,221.43,31,8.4,"The teachers didn't know a switch had been made. They were simply told, these are the A students, these are the D students, and that's how they went about teaching them.",229.15,0.3748,0.06947,0.133365,0.174352,2201.17,ang,0.7421,0.0
test_0035,72.0,6,5.0,"and treating them. So, I think.",185.41,0.4901,0.030817,0.218875,0.210007,2249.5,hap,0.8109,0.1667
test_0036,104.8,16,9.16,is a crushed spirit. A spirit that's been crushed doesn't have hope. It doesn't see beauty.,211.04,0.5096,0.041629,0.188267,0.22419,2242.76,ang,0.9198,0.0
test_0037,123.53,14,6.8,But no longer has our natural childlike curiosity and our innate ability to imagine.,205.29,0.3116,0.077361,0.136497,0.161751,1973.95,ang,0.6432,0.0
test_0038,112.5,15,8.0,my voice broke and I had to stop and collect myself from the emotional shock.,208.92,0.4531,0.049159,0.245181,0.204722,2055.15,ang,0.7801,0.0
test_0039,135.0,18,8.0,"If instead, we can bolster a human spirit to keep hope, to see beauty in themselves and others.",222.47,0.4064,0.091174,0.17428,0.19137,2171.31,ang,0.9505,0.0
test_0040,144.44,13,5.4,"to be curious and imaginative, then we are truly using our power well.",212.19,0.3331,0.098194,0.156478,0.154637,1920.18,ang,0.9133,0.0
test_0041,144.0,18,7.5,"When a spirit has those qualities, we are able to create new realities and new ways of being.",189.69,0.2857,0.086821,0.120766,0.162183,1919.95,ang,0.9282,0.0
test_0042,183.21,16,5.24,I'd like to leave you with a poem by a 14th century Persian poet named Hathas.,212.23,0.4551,0.046238,0.166137,0.198206,2094.38,ang,0.8131,0.0625
test_0043,147.98,22,8.92,"And my friend, Jacques Dembois, told me about. And a poem is called The God Who Only Knows Four Words. Every child.",213.89,0.4902,0.055381,0.1765,0.18707,2103.6,ang,0.747,0.0
test_0044,128.57,21,9.8,"has known God, not the God of names, not the God of don'ts, but the God who only knows for words.",189.32,0.4183,0.049222,0.135009,0.156217,1898.11,ang,0.9623,0.0
test_0045,69.66,15,12.92,"and keeps repeating them, saying, come, dance with me. Come, dance with me. Thank you.",164.64,0.4344,0.044171,0.188929,0.202306,2038.57,ang,0.8514,0.0
test_0046,122.73,9,4.4,an impact that the assault from these words unleashed.,229.01,0.5061,0.061124,0.18674,0.209982,2049.01,ang,0.4602,0.0
test_0047,178.85,31,10.4,"And I'm, of course, this is my raggedy old thasara, so I'm thinking this must be an ancient print date, right? But in fact, a print date was the early 1980s.",217.41,0.3907,0.073686,0.131754,0.214766,2059.31,hap,0.5326,0.0645
test_0048,194.12,44,13.6,"When I would have been starting primary school and forming an understanding of myself, outside the family unit, and as related to the other kids in the world around me, and needless to say, thank God I wasn't using it the Sorris back then.",217.43,0.4105,0.076369,0.15184,0.174581,1935.85,ang,0.9017,0.0
test_0049,144.58,32,13.28,"I mean, from this entry, it would seem that I was born into a world that perceived someone like me to have nothing positive whatsoever going for them. When in fact today.",254.61,0.4463,0.046923,0.180787,0.193478,1935.79,ang,0.6303,0.0312
test_0050,180.45,32,10.64,I'd like to share with you a discovery that I made a few months ago while writing an article for Italian wired. I always keep my thasaurus handy whenever I'm writing anything.,223.73,0.3297,0.065562,0.082575,0.178171,2004.84,ang,0.9227,0.0312
test_0051,105.0,14,8.0,"I'm celebrated for the opportunities and adventures my life have procured. So, I immediately",212.24,0.4635,0.044688,0.194299,0.182642,2038.75,hap,0.7859,0.0714
test_0052,146.67,22,9.0,"went to look up the 2009 online edition, expecting to find a revision worth noting. Here's the updated version of this entry.",223.75,0.4802,0.036049,0.161702,0.203126,1991.07,hap,0.4907,0.0
test_0053,94.74,18,11.4,"Unfortunately, it's not much better. I find the last two words under near-antunums, particularly unsettling, whole and wholesome.",226.75,0.4912,0.05135,0.14303,0.184164,2023.04,hap,0.6678,0.0
test_0054,164.89,31,11.28,It's what we believe about people when we name them with these words. It's about the values behind the words and how we construct those values. Our language affects our thinking.,207.0,0.422,0.058865,0.139506,0.166519,1830.4,ang,0.9807,0.0
test_0055,168.0,28,10.0,"and how we view the world and how we view other people. In fact, many ancient societies, including the Greeks and the Romans, believed that two utter occurs.",212.08,0.3953,0.079186,0.136741,0.174527,1906.97,ang,0.9839,0.0
test_0056,128.57,15,7.0,verbally was so powerful because to say the thing out loud brought it into existence.,212.21,0.3982,0.059023,0.176157,0.212031,1974.58,ang,0.9957,0.0667
test_0057,138.77,21,9.08,So what reality do we want to call into existence? A person who is limited or a person who is empowered.,222.98,0.3697,0.077382,0.183955,0.194182,1883.67,ang,0.6845,0.0476
test_0058,197.29,34,10.34,I had already finished editing the piece and I realized that I had never once in my life looked up the word disabled to see what I'd find. Let me read you the entry.,223.09,0.4213,0.061694,0.16083,0.166228,2152.73,ang,0.8337,0.0
test_0059,144.0,12,5.0,"by casually doing something as simple as naming a person, a child.",224.81,0.3787,0.044863,0.154737,0.165018,1968.61,ang,0.739,0.0
test_0060,127.66,20,9.4,We might be putting lids and casting shadows on their power. Wouldn't we want to open doors for them instead?,208.79,0.3786,0.062783,0.142812,0.177025,1928.61,ang,0.8886,0.0
test_0061,156.0,26,10.0,"Once a person who opened doors for me was my childhood doctor at the AI department institute in Wilmington, Delaware. His name is Dr. Pete Sattillo.",243.37,0.3525,0.079233,0.122387,0.202789,1945.62,ang,0.8715,0.0
test_0062,180.0,24,8.0,"You know, Italian American, whose name apparently was too difficult for most Americans to pronounce, so he went by Dr. P. And Dr. P.",224.57,0.4185,0.049435,0.134928,0.183062,2068.56,ang,0.6764,0.0833
test_0063,142.86,16,6.72,always were really colorful bow ties and had the very perfect disposition to work with children.,209.18,0.3748,0.066052,0.088625,0.190226,1949.64,hap,0.8426,0.0
test_0064,126.67,19,9.0,"I loved almost everything about my time spent at this hospital, which the exception of my physical therapy sessions.",229.68,0.5038,0.041076,0.192317,0.212897,2068.96,hap,0.8093,0.0
test_0065,114.5,20,10.48,"I had to do what seemed like innumerable repetitions of exercises with these thick, elastic, bands, different colors, you know.",235.37,0.4675,0.041756,0.123907,0.187262,2070.64,hap,0.4977,0.1
test_0066,216.76,25,6.92,"to help build up my leg muscles and I hated these bands more than anything. I hated them, had names for them, I hated them.",215.58,0.3626,0.050492,0.105872,0.173709,1919.04,ang,0.8523,0.0
test_0067,219.1,26,7.12,"You know, I was already bargaining at the five-year-old child with Dr. P to try to get out of doing these exercises on successfully, of course.",219.8,0.4102,0.062253,0.114797,0.224153,1989.07,ang,0.9881,0.0385
test_0068,97.83,12,7.36,And one day he came in to my session exhaustive and unforgiving.,221.91,0.3854,0.063627,0.181138,0.183683,2103.95,hap,0.9815,0.0
test_0069,161.39,17,6.32,"these sessions and he said to me, wow, Amy, you are such a strong, powerful little girl.",258.16,0.4105,0.072553,0.167748,0.182131,2015.58,ang,0.965,0.0
test_0070,217.29,31,8.56,"I think you're going to break one of those bands. When you do break it, I'm going to give you a hundred bucks. Now, of course, this was a simple play.",230.57,0.415,0.041841,0.175008,0.196488,1960.05,ang,0.6362,0.0
test_0071,231.38,29,7.52,on Dr. Peas part to get me to do the exercises I didn't want to do before the prospect of being the richest fighter-old in the Second Floor Ward.,224.4,0.4207,0.076696,0.175496,0.198797,1935.71,ang,0.9656,0.0
test_0072,114.55,21,11.0,But what he effectively did for me was reshape an awful daily occurrence into a new and promising experience for me.,235.08,0.3433,0.056291,0.159503,0.2009,1989.97,ang,0.5847,0.0
test_0073,146.34,16,6.56,And I have to wonder today to what extent his vision and his declaration of me.,219.63,0.3644,0.053971,0.147989,0.202189,2020.28,ang,0.7676,0.0
test_0074,138.89,25,10.8,"as a strong and powerful little girl. Shape my own view of myself as an inherently strong, powerful and athletic person well into the future.",212.83,0.4454,0.055773,0.198471,0.170543,1922.51,ang,0.6923,0.0
test_0075,154.29,18,7.0,This is an example of how adults and positions of power can ignite the power of a child.,219.58,0.4185,0.064318,0.121017,0.189785,1986.67,ang,0.84,0.0
test_0076,144.87,24,9.94,"But in the previous instances of those the SARS-N-3, our language isn't allowing us to evolve into the reality that we would all want.",229.33,0.3056,0.075342,0.131668,0.15226,1827.63,ang,0.6123,0.0
test_0077,132.0,11,5.0,Now the possibility of an individual to see themselves as capable.,214.54,0.3384,0.098453,0.132433,0.167735,2073.85,ang,0.9286,0.0
test_0078,54.88,6,6.56,"disabled, adjectives. Crifled, helpless, useless, wrecked.",256.39,0.5848,0.045092,0.260981,0.269232,2341.71,ang,0.508,0.0
test_0079,156.9,25,9.56,"Our language hasn't caught up with the changes in our society, many of which have been brought about by technology. Certainly from a medical standpoint.",211.47,0.3653,0.06505,0.157113,0.172189,2081.74,ang,0.8902,0.0
test_0080,146.25,39,16.0,"my legs, you know, laser surgery for vision impairment, titanium, knees and hip replacements for aging bodies that are allowing people to more fully engage with their abilities and move beyond the limits that nature is imposed on them.",225.06,0.3105,0.063662,0.086839,0.162982,1919.65,ang,0.6809,0.0256
test_0081,152.54,30,11.8,"not to mention social networking platforms. It allows people to self-identify to claim their own descriptions of themselves, so they can go align with global groups of their own choosing.",207.6,0.3155,0.065506,0.108317,0.173871,2061.03,ang,0.8824,0.0333
test_0082,128.98,27,12.56,So perhaps technology is revealing more clearly to us now what has always been a truth that everyone has something rare and powerful to offer our society.,199.33,0.363,0.074624,0.141302,0.18301,1912.79,ang,0.5076,0.037
test_0083,132.0,22,10.0,and that the human ability to adapt is our greatest asset. And human ability to adapt is an interesting thing. Because people...,211.22,0.5395,0.07341,0.144085,0.184958,2091.76,hap,0.6891,0.0
test_0084,174.42,10,3.44,have continually wanted to talk to me about overcoming adversity.,193.35,0.1367,0.075795,0.038387,0.167671,1687.18,ang,0.9865,0.0
test_0085,177.7,34,11.48,"and I'm gonna make an admission, this phrase never sat right with me. And I always felt uneasy trying to answer people's questions about it, and I think I'm starting to figure out why.",203.11,0.3522,0.056948,0.132005,0.185832,1960.12,ang,0.8123,0.0294
test_0086,120.0,14,7.0,implicit in this phrase of overcoming adversity is the idea that success or happiness.,232.34,0.4913,0.077421,0.181082,0.197209,2162.36,hap,0.8032,0.0
test_0087,145.71,17,7.0,is about emerging on the other side of a challenging experience unscathed or unmarked by the experience.,210.65,0.3889,0.068738,0.168594,0.169109,2061.57,ang,0.9039,0.0
test_0088,191.12,33,10.36,As if my success in life has come about from an ability to side step or circumnavigate the presumed pitfalls of a life with prosthetics or what other people perceive as my disability.,220.03,0.2881,0.067177,0.108805,0.185961,1999.8,ang,0.9597,0.0
test_0089,144.69,30,12.44,"But in fact, we are changed. We are marked, of course, by a challenge, whether physically, emotionally, or both. And I'm going to suggest that this is a good thing.",215.52,0.4344,0.067753,0.163815,0.19528,1994.97,hap,0.8436,0.0
test_0090,176.0,22,7.5,adversity isn't an obstacle that we need to get around in order to resume living our life. It's part of our life.,193.18,0.3727,0.085895,0.150072,0.162786,2032.58,ang,0.556,0.0
test_0091,184.83,26,8.44,"And I tend to think of it like my shadow. Sometimes I see a lot of it. Sometimes there's very little, but it's always with me.",198.91,0.3571,0.069275,0.127196,0.170828,1978.37,hap,0.6592,0.0385
test_0092,134.21,17,7.6,"That's certainly, I'm not trying to diminish the impact, the weight of a person's struggle. There is.",237.7,0.466,0.068517,0.166445,0.175787,2093.56,ang,0.7992,0.0
test_0093,208.33,35,10.08,adversity and challenge in life and it's all very real and relative to every single person. But the question isn't whether or not you're going to meet adversity but how you're going to meet it.,230.85,0.4296,0.080257,0.159627,0.161908,1971.26,ang,0.7717,0.0
test_0094,123.97,20,9.68,"So our responsibility is not simply shielding those we care for from adversity, but preparing them to meet it wealth.",210.29,0.4194,0.064786,0.16741,0.184888,1931.01,ang,0.9411,0.05
test_0095,121.28,19,9.4,And we do a disservice to our kids when we make them feel that they're not equipped to adapt.,188.12,0.4292,0.072912,0.187453,0.203495,2162.36,ang,0.8732,0.0
test_0096,64.81,7,6.48,"It's called, Mamed, Wounded, mangled, lame, mutilated.",207.72,0.3096,0.042939,0.132739,0.15788,2056.64,ang,0.5607,0.0
test_0097,129.81,27,12.48,There's an important difference and distinction between the objective medical fact of my being an amputee and the subjective societal opinion of whether or not I'm disabled.,227.65,0.3859,0.073322,0.16091,0.198774,2111.81,ang,0.8617,0.0
test_0098,148.22,25,10.12,"And truthfully, the only real and consistent disability I've had to confront is the world ever thinking that I could be described by those definitions.",229.06,0.3911,0.059052,0.088814,0.167495,1971.88,ang,0.4903,0.0
test_0099,191.08,20,6.28,"In our desire to protect those we care about by giving them the cold, hard truth about their medical prognosis.",227.92,0.2519,0.085784,0.099251,0.182425,1885.62,ang,0.9959,0.0
test_0100,185.9,29,9.36,or indeed a prognosis on the expected quality of their life. We have to make sure that we don't put the first brick in a wall that will actually...,214.34,0.32,0.073154,0.14746,0.182102,1930.29,ang,0.7668,0.0345
test_0101,140.0,21,9.0,disabled someone. Perhaps the existing model of only looking at what is broken and new and how do we fix it.,192.08,0.4227,0.059123,0.142417,0.197582,2016.59,ang,0.793,0.0
test_0102,133.33,20,9.0,serves to be more disabling to the individual than the pathology itself. By not treating the wholeness of a person.,185.12,0.3067,0.066851,0.12736,0.164762,2045.99,ang,0.958,0.0
test_0103,150.0,19,7.6,"By not acknowledging their potency, we are creating another ill on top of whatever natural struggle they might have.",198.99,0.1939,0.08282,0.067645,0.147247,1822.21,ang,0.978,0.0
test_0104,105.88,24,13.6,we are effectively grading someone's worth to our community. So we need to see through the pathology and into the range of human capabilities.,199.38,0.3696,0.062617,0.157973,0.194945,1994.71,ang,0.5518,0.0417
test_0105,100.9,15,8.92,"And most importantly, there's a partnership between those perceived efficiencies and our greatest creative ability.",210.74,0.4549,0.068572,0.152811,0.185189,2124.33,hap,0.7592,0.0
test_0106,153.85,28,10.92,So it's not about devaluing or negating these more trying times as something we want to avoid or sweep under the rug. But instead to find those opportunities.,190.49,0.3191,0.088909,0.117842,0.159209,1913.79,ang,0.8501,0.0357
test_0107,62.5,9,8.64,"Run down, worn out, weakened, impotent, castrated, paralyzed, handicapped.",226.27,0.4287,0.051509,0.19228,0.195128,2166.79,ang,0.9408,0.0
test_0108,139.07,28,12.08,wrapped in the adversity. So maybe the idea I want to put out there is not so much overcoming adversity as it is opening ourselves up to it.,200.51,0.4565,0.040633,0.135735,0.199675,1992.49,hap,0.605,0.0714
test_0109,109.38,14,7.68,embracing it. Grappling with it. Use a wrestling term. Maybe even dancing with it.,193.42,0.5902,0.045119,0.190581,0.166832,1918.08,hap,0.9226,0.0
test_0110,103.64,19,11.0,"And perhaps if we see adversity as natural, consistent, and useful, we're less burdened by the presence of it.",212.21,0.4595,0.059945,0.177794,0.209768,2107.85,hap,0.5306,0.0
test_0111,167.27,31,11.12,"This year we celebrate the 200 birthday of Charles Darwin. And it was 150 years ago when writing about evolution, the Darwin illustrated, I think, a truth about the human character.",208.72,0.3831,0.061829,0.095336,0.186364,1972.43,ang,0.5579,0.0
test_0112,158.76,29,10.96,to paraphrase. It's not the strongest of the species that survives. Nor is it the most intelligent that survives. It is the one that is most adaptable to change.,199.32,0.3175,0.089566,0.121603,0.177025,2167.86,hap,0.8059,0.0
test_0113,111.86,22,11.8,"conflict is the genesis of creation. From Darwin's work amongst others, we can recognize that the human ability to survive and flourish.",214.97,0.4477,0.06677,0.191663,0.175236,2142.57,ang,0.683,0.0
test_0114,103.09,20,11.64,"is driven by the struggle of the human spirit through conflict into transformation. So again, transformation adaptation is our greatest.",217.4,0.3373,0.042849,0.146192,0.196538,2109.45,ang,0.5271,0.05
test_0115,146.23,31,12.72,"human skill. And perhaps, you know, until we're tested, we don't know where made of. Maybe that's what adversity gives us, a sense of self, a sense of our own power.",191.23,0.4817,0.041792,0.250007,0.188623,2097.71,hap,0.6218,0.0323
test_0116,98.82,14,8.5,"Scenial, decrepit, laid up, done up, done for, done in, cracked up, counted out.",255.38,0.477,0.061777,0.182674,0.198282,2023.11,ang,0.9993,0.0
test_0117,120.0,18,9.0,So we can give ourselves a gift. We can reimagine adversity as something more than just tough times.,200.71,0.3351,0.058213,0.12613,0.164023,2073.58,hap,0.6354,0.0556
test_0118,171.43,20,7.0,Maybe we can see it as change. Diversity is just change that we have an adapt that ourselves to yet.,200.3,0.3987,0.063731,0.157909,0.194042,2283.68,ang,0.5894,0.0
test_0119,180.0,15,5.0,I think the greatest adversity that we've created for ourselves is this idea of normalcy.,242.71,0.3458,0.067029,0.127664,0.186767,1905.02,ang,0.9064,0.0
test_0120,77.14,9,7.0,Who's normal? There's no normal. There's common. There's typical.,226.11,0.5813,0.07378,0.201305,0.165975,1934.09,hap,0.5953,0.0
test_0121,182.01,29,9.56,There's no normal. And would you want to meet that poor beige person if they existed? I don't think so. If we can change this paradigm from one of...,231.55,0.4922,0.065619,0.166314,0.166518,1947.62,hap,0.7258,0.0345
test_0122,153.97,31,12.08,"achieving normalcy, to want a possibility or potency, to be even a little bit more dangerous. We can release the power of so many more children and invite them to engage.",202.98,0.4325,0.063013,0.147172,0.150826,1993.56,ang,0.8388,0.0323
test_0123,166.67,35,12.6,"their rare and valuable abilities with the community. Anthropologists tell us that the one thing we as humans have always required of our community members is to be of use, to be able to contribute.",204.72,0.373,0.06097,0.115627,0.164929,1939.15,ang,0.8554,0.0
test_0124,106.67,16,9.0,"There's evidence that Neanderthals 60,000 years ago carried their elderly and those with serious physical injury.",210.17,0.4267,0.041755,0.151887,0.190686,2143.13,ang,0.7704,0.0
test_0125,135.0,18,8.0,and perhaps it's because the life experience of survival of these people proved of value to the community.,205.74,0.3793,0.056632,0.173285,0.198228,2063.06,ang,0.8982,0.0
test_0126,148.15,16,6.48,They didn't view these people as broken and useless. They were seen as rare and valuable.,194.51,0.4237,0.08077,0.148919,0.181466,2024.94,ang,0.8835,0.0
test_0127,179.69,23,7.68,"She's okay, the question is whether we will be. And one reason is this enormous heat sink heats up Greenland from the North.",202.31,0.5283,0.130916,0.15909,0.18321,1837.86,ang,0.6739,0.0
test_0128,160.71,21,7.84,"This is an annual melting river, but the volumes are much larger than ever. This is the Kangor-Lusic River in Southwest.",161.2,0.322,0.128298,0.123483,0.182372,1834.89,neu,0.638,0.0
test_0129,184.09,27,8.8,"Greenland, if you want to know how sea level rises from land-based ice melting, this is where it reaches the sea. These flows are increasing very rapidly.",158.53,0.452,0.12914,0.149954,0.170532,1860.54,neu,0.7143,0.0
test_0130,190.1,32,10.1,"At the other end of the planet, Antarctica, the largest mass of ice on the planet, last month's scientists reported the entire continent is now a negative ice balance and west Antarctica.",164.36,0.4687,0.12741,0.142913,0.186853,1727.42,ang,0.4636,0.0
test_0131,187.5,25,8.0,Proped up on top of under sea islands is particularly rapid in its melting. That's equal to 20 feet of sea level as is Greenland.,155.51,0.5155,0.104905,0.158236,0.235773,1702.7,neu,0.8113,0.0
test_0132,233.71,55,14.12,"In the Himalayas, the third largest mass of ice, at the top you see new lakes, which a few years ago were glaciers. 40% of all the people in the world get half of their drinking water from that melting flow. In the Andes, this glacier is the source of drinking water for this city.",163.16,0.4291,0.111825,0.110044,0.171348,1638.04,hap,0.6878,0.0
test_0133,182.84,54,17.72,"The flows have increased, but when they go away, so does much of the drinking water. In California, there's been a 40% decline in the Sierra Snow Pack. This is hitting the reservoirs and the predictions as you've read are serious. This drying around the world has led to a dramatic increase in fires.",169.77,0.5499,0.109033,0.161318,0.184141,1636.49,hap,0.6281,0.0185
test_0134,161.89,49,18.16,"And the disasters around the world have been increasing at an absolutely extraordinary and unprecedented rate. Four times as many in the last 30 years as in the previous 75. This is a completely unsustainable pattern. If you look at it in the context of history, you can see.",156.64,0.3206,0.101529,0.107408,0.193568,1709.88,hap,0.541,0.0
test_0135,240.0,4,1.0,What this is doing?,146.21,0.428,0.154059,0.205272,0.234219,1545.5,neu,0.7977,0.0
test_0136,219.8,37,10.1,"Last year I showed these two slides so that demonstrate that the Arctic ice cap, which for most of the last 3 million years has been the size of the lower 48 states, has shrunk by 40%.",137.03,0.7234,0.107523,0.21836,0.185982,1803.97,ang,0.4834,0.027
test_0137,171.64,23,8.04,"In the last five years, we've added 70 million tons of CO2 every 24 hours, 25 million tons every day to the oceans.",167.75,0.3464,0.125118,0.119567,0.17319,1824.47,ang,0.5644,0.0
test_0138,186.79,33,10.6,Look carefully at the area of the eastern Pacific from the Americas extending westward and on either side of the Indian subcontinent where there is a radical population of oxygen in the ocean.,158.69,0.3756,0.110797,0.129742,0.178998,1597.44,neu,0.5186,0.0
test_0139,209.5,25,7.16,"The biggest single cause of global warming, along with deforestation, which is 20% of it, is the burning of fossil fuels. Oil is a problem.",170.83,0.3464,0.13283,0.123123,0.184971,1547.07,hap,0.7373,0.0
test_0140,209.22,59,16.92,"and coal is the most serious problem. The United States is one of the two largest emitters along with China, and the proposal has been to build a lot more coal plants. But we're beginning to see a sea change. Here are the ones that have been canceled in the last few years with some green alternatives to propose.",172.75,0.468,0.119662,0.13494,0.188737,1725.14,hap,0.5507,0.0
